seg_idx,t_start_s,t_end_s,t_start_device_ns,t_end_device_ns,transcript,gaze_yaw_mean_rad,gaze_pitch_mean_rad,gaze_depth_mean_m,gaze_yaw_std_rad,head_accel_mag_mean,head_gyro_mag_mean,gps_speed_mps,body_state,lat,lon,left_hand_visible_frac,right_hand_visible_frac,discourse_level,discourse_label,discourse_confidence,seg_dur_s,f0_mean_hz,f0_std_hz,f0_range_hz,voiced_frac,energy_mean,energy_std,pause_frac,ser_arousal,ser_dominance,ser_valence,lang,level,label,confidence,rationale
0,8.97,10.87,468473220854,470371220854,Espérate que no ha empezado a recordar.,-0.2511,-0.4529,0.264,0.0302,9.802,0.0593,1.714,walking,45.9526863,8.9289722,0.0,1.0,3,aside,0.95,1.9,98.7,9.2,49.5,1.0,0.01461,0.00762,0.0,0.0878,0.2461,0.4436,es,3,aside,0.95,Waiting for device to record.
1,14.54,19.02,474037220854,478522220854,"A ver si se conecta, espera, que no se me conecta ahora.",-0.1868,-0.3755,0.362,0.051,9.817,0.2539,1.403,walking,45.9527473,8.9290028,0.244,1.0,3,aside,0.95,4.48,92.6,21.1,58.4,0.66,0.01171,0.00977,0.298,0.2559,0.3436,0.3013,es,3,aside,0.95,Troubleshooting device connection.
2,20.96,24.95,480455220854,484446220854,si no se conecta vamos a la iglesia y volvemos en el momento en que se conecte,-0.0187,-0.3183,0.377,0.3497,9.817,0.0677,0.59,walking,45.9527626,8.92904,0.0,1.0,3,aside,0.95,3.99,292.8,40.2,120.9,0.352,0.00389,0.00113,0.0,0.3913,0.3793,0.3747,es,3,aside,0.95,Contingency plan due to tech issue.
3,29.08,29.8,488577220854,489304220854,"Espera, no se...",-0.1512,-0.5351,0.25,0.0537,9.934,0.4317,0.449,scanning,45.9527664,8.9290438,0.0,1.0,3,aside,0.95,0.72,112.0,8.3,38.2,0.913,0.02152,0.00901,0.087,0.3981,0.4562,0.3724,es,3,aside,0.95,Still addressing device connection issue.
4,30.03,30.84,489530220854,490340220854,la mia mi sta facendo il searching ora,-0.1115,-0.6855,0.378,0.0411,9.918,0.626,0.371,scanning,45.9527702,8.9290419,0.0,1.0,3,aside,0.95,0.81,106.3,6.1,32.0,1.0,0.01655,0.00555,0.0,0.3109,0.3785,0.4493,it,3,aside,0.95,Device searching/connecting status.
5,32.93,33.33,492432220854,492833220854,Ma puoi iniziare.,-0.0384,-0.5576,0.278,0.049,10.165,0.7221,0.449,scanning,45.9527702,8.9290352,0.0,1.0,3,aside,0.95,0.4,229.1,13.9,65.6,1.0,0.01219,0.00422,0.0,,,,it,3,aside,0.95,Giving permission to start.
6,33.37,33.62,492873220854,493114220854,Io inizio?,-0.0042,-0.3824,0.27,0.0126,9.692,0.1538,0.431,dwelling,45.952774,8.929039,0.0,1.0,3,aside,0.95,0.25,137.8,19.7,43.6,1.0,0.00334,0.00055,0.0,,,,it,3,aside,0.95,Asking for confirmation to start.
7,33.66,34.16,493154220854,493655220854,"Sì, tranquillamente.",0.0149,-0.389,0.259,0.0365,9.853,0.1665,0.431,dwelling,45.952774,8.929039,0.0,1.0,3,aside,0.95,0.5,,,,0.0,0.00275,0.00041,0.0,0.5916,0.5275,0.456,it,3,aside,0.95,Confirming permission to start.
8,34.2,35.2,493695220853,494697220854,Funziona e non lo pago fino a...,0.0098,-0.4114,0.275,0.1331,9.725,0.4146,0.431,scanning,45.9527779,8.9290438,0.0,1.0,3,aside,0.9,1.0,237.5,7.9,24.7,0.5,0.00466,0.00244,0.0,0.4698,0.5594,0.6852,it,3,aside,0.9,Off-topic comment about device/payment.
9,39.87,40.39,499368220854,499890220854,L'italiano mi sembra.,-0.0957,-0.6834,0.294,0.0413,9.753,0.0251,0.0,dwelling,45.9527855,8.9290447,1.0,1.0,3,aside,0.95,0.52,256.6,9.0,25.3,1.0,0.0048,0.00102,0.0,0.545,0.4837,0.4257,it,3,aside,0.95,Comment about language choice.
10,47.67,51.16,507171220854,510659220854,"Il linguaggio va bene, cosa volete che parli?",-0.0921,-0.6238,0.29,0.0158,9.75,0.0165,0.0,dwelling,45.9527855,8.9290419,1.0,1.0,3,aside,0.95,3.49,259.1,60.4,156.3,0.309,0.00367,0.00168,0.0,0.6373,0.5763,0.7381,it,3,aside,0.95,Asking about preferred language for tour.
11,51.22,53.71,510719220854,513205220854,"Il spagnolo mi viene bene, perché voi due siete, tu capisci, tu non puoi.",-0.0924,-0.545,0.258,0.0152,9.751,0.0174,0.0,dwelling,45.9527855,8.9290409,1.0,1.0,3,aside,0.95,2.49,178.4,43.5,166.0,0.731,0.00658,0.00306,0.0,0.4961,0.4505,0.521,it,3,aside,0.95,Explaining language choice for audience.
12,55.99,57.8,515490220854,517297220854,inglese se volete però italiano,-0.075,-0.5626,0.274,0.047,9.747,0.0285,0.0,dwelling,45.9527855,8.9290409,1.0,1.0,3,aside,0.95,1.81,261.6,18.6,64.0,0.351,0.00461,0.00103,0.0,0.6348,0.5648,0.5776,it,3,aside,0.95,Offering language choices.
13,60.37,61.78,519871220854,521276220854,Empezamos por la forma de la montaña.,-0.0787,-0.5308,0.26,0.0294,9.749,0.0308,0.0,dwelling,45.9527855,8.92904,1.0,1.0,1,concrete,1.0,1.41,73.9,10.7,35.8,0.4,0.00315,0.00059,0.0,0.6114,0.5652,0.7256,es,1,concrete,1.0,States the concrete starting point for the walk.
14,67.26,69.25,526759220854,528749220854,"Al principio, antes de la vida y la forma de la montaña, la geomorfología.",-0.0792,-0.6157,0.33,0.0222,9.75,0.036,0.448,dwelling,45.9527702,8.9290543,1.0,1.0,2,contextual,1.0,1.99,259.4,23.5,85.8,0.619,0.00411,0.00136,0.0,0.5954,0.5782,0.673,es,2,contextual,1.0,General contextual framing of the mountain's formation.
15,71.64,77.43,531140220854,536932220854,"Cualquier lugar, la identidad de un lugar, la fuerza de un lugar, viene de la forma de la montaña.",0.2184,-0.1223,0.949,0.1724,9.911,0.338,0.148,scanning,45.9527588,8.9290619,0.241,0.31,2,contextual,0.9,5.79,226.8,20.4,125.3,0.652,0.0041,0.00104,0.0,0.5849,0.5906,0.5128,es,2,contextual,0.9,Generalization about mountain shape's influence.
16,77.95,83.4,537452220854,542897220854,Y la forma de la montaña determina la manera en que el agua cae.,-0.0308,-0.3576,0.593,0.1958,9.871,0.832,0.443,scanning,45.9527626,8.9290485,0.0,0.727,2,contextual,0.9,5.45,199.7,76.6,220.2,0.696,0.00425,0.00118,0.0,0.422,0.4521,0.5198,es,2,contextual,0.9,Generalization about mountain shape determining water.
17,83.42,83.68,542917220854,543178220854,Ves acá.,-0.1726,-0.6977,0.297,0.0021,9.754,0.0308,0.448,dwelling,45.9527512,8.9290504,0.0,1.0,3,aside,0.9,0.26,,,,0.0,0.00349,0.00064,0.0,,,,es,3,aside,0.9,Procedural instruction to observe.
18,84.81,89.77,544308220854,549265220854,A veces es un movimiento que va bajando.,0.0629,-0.3827,0.61,0.2543,9.889,0.7027,0.074,scanning,45.9527473,8.9290543,0.245,0.551,1,concrete,0.9,4.96,222.2,30.3,104.9,0.333,0.00323,0.00118,0.0,0.4032,0.424,0.4732,es,1,concrete,0.9,Describes observed physical movement.
19,89.79,89.97,549285220854,549466220854,Esto...,-0.1012,-0.4964,0.233,0.0,9.816,0.1844,0.074,dwelling,45.9527512,8.9290533,1.0,1.0,3,aside,0.9,0.18,,,,0.0,0.00251,0.00027,0.0,,,,es,3,aside,0.9,"Filler, incomplete thought."
20,90.03,91.95,549530220854,551454220854,"es el producto de la forma de la montaña, que va moldeándose gracias a la caída del agua.",-0.1752,-0.3631,0.479,0.0924,9.826,0.4255,0.221,scanning,45.9527512,8.9290533,0.474,0.526,1,concrete,0.9,1.92,289.3,16.9,49.8,0.262,0.00481,0.00149,0.0,0.6492,0.623,0.6861,es,1,concrete,0.9,Explains feature formation process.
